"","CRC","Date","Time","Latitude","Longitude","Fix","Alt(m)","Tag.ID.","Argos.ID.","Bat.ID."
"1","           OK",2023-09-16,"  10:02:40 PM",-18.5836411,48.057663,"        3D",960,"58557","245091","ANA139"
"2","           OK",2023-09-16,"  11:02:24 PM",-18.583847,48.0573807,"        3D",904,"58557","245091","ANA139"
"3","           OK",2023-09-17,"  12:02:08 AM",-18.5883007,48.0594826,"        2D",0,"58557","245091","ANA139"
"4","           OK",2023-09-17,"  01:01:52 AM",-18.5839748,48.0576134,"        3D",904,"58557","245091","ANA139"
"5","           OK",2023-09-17,"  02:01:36 AM",-18.5981312,48.0527725,"        2D",0,"58557","245091","ANA139"
"6","           OK",2023-09-17,"  03:01:20 AM",-18.5838718,48.05756,"        3D",887,"58557","245091","ANA139"
"7","           OK",2023-09-17,"  04:01:04 AM",-18.5878143,48.0581741,"        2D",0,"58557","245091","ANA139"
"8","           OK",2023-09-17,"  08:59:44 AM",-18.5838718,48.0574837,"        3D",912,"58557","245091","ANA139"
"9","           OK",2023-09-17,"  03:02:24 PM",-18.5815945,48.0553589,"        2D",0,"58557","245091","ANA139"
"10","           OK",2023-09-17,"  04:02:08 PM",-18.587431,48.0570755,"        3D",18,"58557","245091","ANA139"
"11","           OK",2023-09-17,"  05:01:52 PM",-18.5839233,48.0574074,"        3D",894,"58557","245091","ANA139"
"12","           OK",2023-09-17,"  06:01:36 PM",-18.5839481,48.0575371,"        3D",889,"58557","245091","ANA139"
"13","           OK",2023-09-17,"  07:01:20 PM",-18.5841026,48.0579453,"        3D",789,"58557","245091","ANA139"
"14","           OK",2023-09-17,"  08:01:04 PM",-18.5836678,48.0576134,"        3D",912,"58557","245091","ANA139"
"16","           OK",2023-09-17,"  10:00:32 PM",-18.5839481,48.0577164,"        3D",889,"58557","245091","ANA139"
"17","           OK",2023-09-17,"  11:00:16 PM",-18.5838985,48.0574837,"        3D",890,"58557","245091","ANA139"
"18","           OK",2023-09-18,"  12:59:44 AM",-18.5950584,48.0908928,"        2D",0,"58557","245091","ANA139"
"19","           OK",2023-09-18,"  01:59:28 AM",-18.5835648,48.0577927,"        3D",940,"58557","245091","ANA139"
"20","           OK",2023-09-18,"  02:59:12 AM",-18.5839233,48.0574608,"        3D",872,"58557","245091","ANA139"
"21","           OK",2023-09-18,"  04:03:12 AM",-18.5842304,48.0574837,"        3D",825,"58557","245091","ANA139"
"22","           OK",2023-09-18,"  03:00:16 PM",-18.5757828,48.0548744,"        2D",0,"58557","245091","ANA139"
"23","           OK",2023-09-18,"  04:00:00 PM",-18.5837688,48.0575371,"        3D",877,"58557","245091","ANA139"
