          CRC         Date          Time       Latitude      Longitude        Fix     Alt(m) Temp(°C)     Volts      Mort
ID 245098:  Msg {570}  GPS {Total = 266   OK = 183   Fail = 83}
           OK,  24/02/2022,  04:44:48 PM,   -18.6205063,    72.7048340,        3D,     1232,         ,         ,         
           OK,  25/09/2023,  11:00:16 PM,   -18.9177723,    47.9756432,        3D,     1069,         ,         ,         
           OK,  26/09/2023,  12:00:00 AM,   -18.9143677,    48.0291443,        3D,     1104,         ,         ,         
           OK,  26/09/2023,  12:59:44 AM,   -18.9180031,    48.0496750,        2D,        0,         ,         ,         
           OK,  26/09/2023,  02:59:12 AM,   -18.8458366,    48.0238190,        3D,      933,         ,         ,         
           OK,  26/09/2023,  03:58:56 AM,   -18.8457851,    48.0238457,        3D,      932,         ,         ,         
           OK,  26/09/2023,  03:00:16 PM,   -18.8236408,    48.0098419,        2D,        0,         ,         ,         
           OK,  26/09/2023,  04:00:00 PM,   -18.9071484,    47.9169159,        3D,     1207,         ,         ,         
           OK,  26/09/2023,  04:59:44 PM,   -18.9071484,    47.9168892,        3D,     1270,         ,         ,         
           OK,  26/09/2023,  06:59:12 PM,   -18.8450184,    47.8264198,        3D,     1431,         ,         ,         
           OK,  26/09/2023,  10:02:40 PM,   -18.8605824,    47.8352509,        3D,     1113,         ,         ,         
           OK,  26/09/2023,  11:02:24 PM,   -18.8596611,    47.8360176,        3D,     1483,         ,         ,         
           OK,  27/09/2023,  01:01:52 AM,   -18.8558712,    47.9044724,        3D,     1424,         ,         ,         
           OK,  27/09/2023,  03:01:20 AM,   -18.8460159,    48.0241013,        3D,      918,         ,         ,         
           OK,  27/09/2023,  08:59:44 AM,   -18.8460674,    48.0239220,        3D,      953,         ,         ,         
           OK,  27/09/2023,  03:02:24 PM,   -18.8276100,    48.0324478,        2D,        0,         ,         ,         
           OK,  27/09/2023,  04:02:08 PM,   -19.0349178,    47.9516296,        3D,     1268,         ,         ,         
           OK,  28/09/2023,  12:59:44 AM,   -18.9934464,    48.0121994,        3D,     1071,         ,         ,         
           OK,  28/09/2023,  02:59:12 AM,   -18.8457603,    48.0237694,        3D,      930,         ,         ,         
           OK,  28/09/2023,  03:58:56 AM,   -18.8457851,    48.0238724,        3D,      939,         ,         ,         
           OK,  28/09/2023,  09:01:52 AM,   -18.8459911,    48.0240784,        3D,      942,         ,         ,         
           OK,  28/09/2023,  03:00:16 PM,   -18.8459911,    48.0240517,        3D,      951,         ,         ,         
           OK,  28/09/2023,  04:00:00 PM,   -18.8692856,    47.8908043,        3D,     1449,         ,         ,         
           OK,  28/09/2023,  06:59:12 PM,   -18.8643703,    47.8438034,        2D,        0,         ,         ,         
           OK,  28/09/2023,  08:58:40 PM,   -18.8568439,    47.8326645,        3D,     1448,         ,         ,         
           OK,  29/09/2023,  12:02:08 AM,   -18.8622723,    47.8596497,        3D,     1445,         ,         ,         
           OK,  29/09/2023,  03:01:20 AM,   -18.8457603,    48.0239487,        3D,      941,         ,         ,         
           OK,  29/09/2023,  04:01:04 AM,   -18.8457603,    48.0237961,        3D,      944,         ,         ,         
           OK,  29/09/2023,  08:59:44 AM,   -18.8458633,    48.0238991,        3D,      949,         ,         ,         
           OK,  29/09/2023,  03:02:24 PM,   -18.8457851,    48.0238724,        3D,      949,         ,         ,         
           OK,  29/09/2023,  04:02:08 PM,   -19.0461063,    47.9570808,        3D,     1225,         ,         ,         
           OK,  29/09/2023,  08:01:04 PM,   -19.0399361,    47.9588470,        3D,     1232,         ,         ,         
           OK,  30/09/2023,  12:59:44 AM,   -18.8661880,    47.8421364,        3D,     1520,         ,         ,         
           OK,  30/09/2023,  01:59:28 AM,   -18.8487034,    48.0132980,        3D,     1027,         ,         ,         
