          CRC         Date          Time       Latitude      Longitude        Fix     Alt(m) Temp(°C)     Volts      Mort
ID 245096:  Msg {512}  GPS {Total = 208   OK = 172   Fail = 36}
           OK,  26/09/2023,  12:00:00 AM,   -18.4679298,    48.1016464,        3D,      912,         ,         ,         
           OK,  26/09/2023,  01:59:28 AM,   -18.4027767,    48.1246834,        3D,      944,         ,         ,         
           OK,  26/09/2023,  02:59:12 AM,   -18.4027767,    48.1247101,        3D,      915,         ,         ,         
           OK,  26/09/2023,  03:58:56 AM,   -18.4028282,    48.1246834,        3D,      946,         ,         ,         
           OK,  26/09/2023,  03:00:16 PM,   -18.4029312,    48.1247101,        3D,      957,         ,         ,         
           OK,  26/09/2023,  06:59:12 PM,   -18.4762497,    48.0929146,        3D,      903,         ,         ,         
           OK,  26/09/2023,  08:58:40 PM,   -18.4693127,    48.1016197,        3D,      904,         ,         ,         
           OK,  26/09/2023,  10:02:40 PM,   -18.4666748,    48.1010818,        3D,      927,         ,         ,         
           OK,  26/09/2023,  11:02:24 PM,   -18.4772224,    48.0951424,        2D,        0,         ,         ,         
           OK,  27/09/2023,  02:01:36 AM,   -18.4304504,    48.1173134,        3D,      972,         ,         ,         
           OK,  27/09/2023,  04:01:04 AM,   -18.4028797,    48.1246605,        3D,      953,         ,         ,         
           OK,  27/09/2023,  08:59:44 AM,   -18.4027519,    48.1247368,        3D,      939,         ,         ,         
           OK,  27/09/2023,  03:02:24 PM,   -18.4027767,    48.1247101,        3D,      916,         ,         ,         
           OK,  27/09/2023,  06:01:36 PM,   -18.4560776,    48.0562057,        3D,     1171,         ,         ,         
           OK,  27/09/2023,  09:00:48 PM,   -18.4763012,    48.0929413,        3D,      914,         ,         ,         
           OK,  27/09/2023,  11:00:16 PM,   -18.4667511,    48.1012344,        3D,      922,         ,         ,         
           OK,  28/09/2023,  12:59:44 AM,   -18.4501381,    48.1152878,        2D,        0,         ,         ,         
           OK,  28/09/2023,  01:59:28 AM,   -18.4325256,    48.1174927,        3D,      971,         ,         ,         
           OK,  28/09/2023,  02:59:12 AM,   -18.4027004,    48.1245842,        3D,      940,         ,         ,         
           OK,  28/09/2023,  03:58:56 AM,   -18.4027767,    48.1244278,        3D,      977,         ,         ,         
           OK,  28/09/2023,  09:01:52 AM,   -18.4028282,    48.1246605,        3D,      959,         ,         ,         
           OK,  28/09/2023,  05:59:28 PM,   -18.4763260,    48.0930176,        3D,      915,         ,         ,         
           OK,  28/09/2023,  07:58:56 PM,   -18.4763012,    48.0929413,        3D,      905,         ,         ,         
           OK,  28/09/2023,  10:02:40 PM,   -18.4668026,    48.1011848,        3D,      925,         ,         ,         
           OK,  29/09/2023,  12:02:08 AM,   -18.4693375,    48.1016464,        3D,      919,         ,         ,         
           OK,  29/09/2023,  01:01:52 AM,   -18.4678268,    48.1091461,        2D,        0,         ,         ,         
           OK,  29/09/2023,  03:01:20 AM,   -18.4027767,    48.1247368,        3D,      940,         ,         ,         
           OK,  29/09/2023,  08:59:44 AM,   -18.4028797,    48.1247101,        3D,      949,         ,         ,         
           OK,  29/09/2023,  03:02:24 PM,   -18.4028549,    48.1247101,        3D,      960,         ,         ,         
           OK,  29/09/2023,  05:01:52 PM,   -18.4553852,    48.0572014,        3D,     1167,         ,         ,         
           OK,  29/09/2023,  06:01:36 PM,   -18.4553089,    48.0566902,        3D,     1193,         ,         ,         
           OK,  29/09/2023,  08:01:04 PM,   -18.4667778,    48.1010323,        3D,      960,         ,         ,         
           OK,  29/09/2023,  09:00:48 PM,   -18.4667778,    48.1011581,        3D,      926,         ,         ,         
           OK,  29/09/2023,  10:00:32 PM,   -18.4760456,    48.0923271,        3D,      783,         ,         ,         
           OK,  30/09/2023,  12:00:00 AM,   -18.4763527,    48.0927086,        3D,      877,         ,         ,         
           OK,  30/09/2023,  12:59:44 AM,   -18.4763527,    48.0929413,        3D,      907,         ,         ,         
           OK,  30/09/2023,  02:59:12 AM,   -18.4027519,    48.1246338,        3D,      951,         ,         ,         
           OK,  30/09/2023,  03:58:56 AM,   -18.4028034,    48.1247368,        3D,      932,         ,         ,         
           OK,  30/09/2023,  09:01:52 AM,   -18.4028034,    48.1246338,        3D,      934,         ,         ,         
           OK,  30/09/2023,  04:59:44 PM,   -18.4763775,    48.0929146,        3D,      905,         ,         ,         
           OK,  30/09/2023,  05:59:28 PM,   -18.4762745,    48.0929146,        3D,      936,         ,         ,         
           OK,  30/09/2023,  06:59:12 PM,   -18.4666500,    48.1010323,        3D,      940,         ,         ,         
           OK,  30/09/2023,  07:58:56 PM,   -18.4669056,    48.1011086,        3D,      929,         ,         ,         
           OK,  30/09/2023,  11:02:24 PM,   -18.4825478,    48.1038475,        2D,        0,         ,         ,         
