          CRC         Date          Time       Latitude      Longitude        Fix     Alt(m) Temp(°C)     Volts      Mort
ID 245091:  Msg {119}  GPS {Total = 68   OK = 64   Fail = 4}
           OK,  16/09/2023,  10:02:40 PM,   -18.5836411,    48.0576630,        3D,      960,         ,         ,         
           OK,  16/09/2023,  11:02:24 PM,   -18.5838470,    48.0573807,        3D,      904,         ,         ,         
           OK,  17/09/2023,  12:02:08 AM,   -18.5883007,    48.0594826,        2D,        0,         ,         ,         
           OK,  17/09/2023,  01:01:52 AM,   -18.5839748,    48.0576134,        3D,      904,         ,         ,         
           OK,  17/09/2023,  02:01:36 AM,   -18.5981312,    48.0527725,        2D,        0,         ,         ,         
           OK,  17/09/2023,  03:01:20 AM,   -18.5838718,    48.0575600,        3D,      887,         ,         ,         
           OK,  17/09/2023,  04:01:04 AM,   -18.5878143,    48.0581741,        2D,        0,         ,         ,         
           OK,  17/09/2023,  08:59:44 AM,   -18.5838718,    48.0574837,        3D,      912,         ,         ,         
           OK,  17/09/2023,  03:02:24 PM,   -18.5815945,    48.0553589,        2D,        0,         ,         ,         
           OK,  17/09/2023,  04:02:08 PM,   -18.5874310,    48.0570755,        3D,       18,         ,         ,         
           OK,  17/09/2023,  05:01:52 PM,   -18.5839233,    48.0574074,        3D,      894,         ,         ,         
           OK,  17/09/2023,  06:01:36 PM,   -18.5839481,    48.0575371,        3D,      889,         ,         ,         
           OK,  17/09/2023,  07:01:20 PM,   -18.5841026,    48.0579453,        3D,      789,         ,         ,         
           OK,  17/09/2023,  08:01:04 PM,   -18.5836678,    48.0576134,        3D,      912,         ,         ,         
OK(corrected),  17/09/2023,  09:00:48 PM,   -18.5839748,    48.0575867,        3D,      888,         ,         ,         
           OK,  17/09/2023,  10:00:32 PM,   -18.5839481,    48.0577164,        3D,      889,         ,         ,         
           OK,  17/09/2023,  11:00:16 PM,   -18.5838985,    48.0574837,        3D,      890,         ,         ,         
           OK,  18/09/2023,  12:59:44 AM,   -18.5950584,    48.0908928,        2D,        0,         ,         ,         
           OK,  18/09/2023,  01:59:28 AM,   -18.5835648,    48.0577927,        3D,      940,         ,         ,         
           OK,  18/09/2023,  02:59:12 AM,   -18.5839233,    48.0574608,        3D,      872,         ,         ,         
           OK,  18/09/2023,  04:03:12 AM,   -18.5842304,    48.0574837,        3D,      825,         ,         ,         
           OK,  18/09/2023,  03:00:16 PM,   -18.5757828,    48.0548744,        2D,        0,         ,         ,         
           OK,  18/09/2023,  04:00:00 PM,   -18.5837688,    48.0575371,        3D,      877,         ,         ,         
           OK,  18/09/2023,  04:59:44 PM,   -18.5839481,    48.0576134,        3D,      868,         ,         ,         
           OK,  18/09/2023,  05:59:28 PM,   -18.5839481,    48.0575371,        3D,      882,         ,         ,         
           OK,  18/09/2023,  06:59:12 PM,   -18.5838718,    48.0576897,        3D,      931,         ,         ,         
           OK,  18/09/2023,  07:58:56 PM,   -18.5840759,    48.0577393,        2D,        0,         ,         ,         
           OK,  18/09/2023,  09:02:56 PM,   -18.5842056,    48.0572548,        3D,      929,         ,         ,         
           OK,  18/09/2023,  10:02:40 PM,   -18.5839233,    48.0575600,        3D,      889,         ,         ,         
           OK,  18/09/2023,  11:02:24 PM,   -18.5838470,    48.0575371,        3D,      892,         ,         ,         
           OK,  19/09/2023,  12:02:08 AM,   -18.5838985,    48.0581245,        2D,        0,         ,         ,         
           OK,  19/09/2023,  01:01:52 AM,   -18.5838985,    48.0575867,        3D,      869,         ,         ,         
           OK,  19/09/2023,  03:01:20 AM,   -18.5840263,    48.0571518,        3D,      716,         ,         ,         
           OK,  19/09/2023,  04:01:04 AM,   -18.5839481,    48.0575371,        3D,      876,         ,         ,         
           OK,  19/09/2023,  08:59:44 AM,   -18.5842056,    48.0573044,        3D,      949,         ,         ,         
           OK,  19/09/2023,  03:02:24 PM,   -18.5805435,    48.0622215,        3D,       21,         ,         ,         
           OK,  19/09/2023,  04:02:08 PM,   -18.5874310,    48.0595322,        2D,        0,         ,         ,         
           OK,  19/09/2023,  05:01:52 PM,   -18.5839233,    48.0576134,        3D,      874,         ,         ,         
           OK,  19/09/2023,  06:01:36 PM,   -18.5840263,    48.0575104,        3D,      848,         ,         ,         
           OK,  19/09/2023,  07:01:20 PM,   -18.5840759,    48.0576897,        3D,      827,         ,         ,         
           OK,  19/09/2023,  08:01:04 PM,   -18.5897865,    48.0580482,        2D,        0,         ,         ,         
           OK,  19/09/2023,  09:00:48 PM,   -18.5839233,    48.0574074,        3D,      922,         ,         ,         
           OK,  19/09/2023,  10:00:32 PM,   -18.5839481,    48.0575600,        3D,      873,         ,         ,         
           OK,  19/09/2023,  11:00:16 PM,   -18.5839996,    48.0576897,        3D,      859,         ,         ,         
           OK,  20/09/2023,  12:00:00 AM,   -18.5839996,    48.0575104,        3D,      855,         ,         ,         
           OK,  20/09/2023,  12:59:44 AM,   -18.5840263,    48.0576630,        3D,      892,         ,         ,         
           OK,  20/09/2023,  01:59:28 AM,   -18.5896072,    48.0535164,        2D,        0,         ,         ,         
           OK,  20/09/2023,  02:59:12 AM,   -18.5838203,    48.0576897,        3D,      857,         ,         ,         
           OK,  20/09/2023,  09:01:52 AM,   -18.5840263,    48.0574074,        3D,      876,         ,         ,         
           OK,  20/09/2023,  03:00:16 PM,   -18.5834370,    48.0570221,        3D,      651,         ,         ,         
           OK,  20/09/2023,  04:00:00 PM,   -18.5804672,    48.0536194,        2D,        0,         ,         ,         
           OK,  20/09/2023,  04:59:44 PM,   -18.5840511,    48.0576401,        3D,      890,         ,         ,         
           OK,  20/09/2023,  05:59:28 PM,   -18.5841026,    48.0576897,        3D,      846,         ,         ,         
           OK,  20/09/2023,  06:59:12 PM,   -18.5835400,    48.0569992,        3D,     1034,         ,         ,         
           OK,  20/09/2023,  07:58:56 PM,   -18.5839233,    48.0574837,        3D,      893,         ,         ,         
           OK,  20/09/2023,  09:02:56 PM,   -18.5838985,    48.0575104,        3D,      901,         ,         ,         
           OK,  20/09/2023,  10:02:40 PM,   -18.5834103,    48.0572815,        3D,     1035,         ,         ,         
           OK,  20/09/2023,  11:02:24 PM,   -18.5839481,    48.0574837,        3D,      880,         ,         ,         
           OK,  21/09/2023,  12:02:08 AM,   -18.5838470,    48.0575371,        3D,      937,         ,         ,         
           OK,  21/09/2023,  01:01:52 AM,   -18.5838985,    48.0574837,        3D,      916,         ,         ,         
           OK,  21/09/2023,  02:01:36 AM,   -18.5838718,    48.0574341,        3D,      861,         ,         ,         
           OK,  21/09/2023,  03:01:20 AM,   -18.5840263,    48.0577393,        3D,      912,         ,         ,         
           OK,  06/10/2023,  09:01:52 AM,   -18.5838985,    48.0574608,        3D,      890,         ,         ,         
           OK,  06/10/2023,  03:00:16 PM,   -18.5837193,    48.0576630,        3D,      909,         ,         ,         
         Fail,  13/09/2021,  04:35:12 AM,   -18.5824127,    48.0553093,        2D,        0,         ,         ,         
         Fail,  19/09/2021,  07:13:04 AM,   -17.3291397,    48.0570755,        3D,       18,         ,         ,         
         Fail,  19/09/2023,  11:03:28 AM,   202.1146240,    94.7417221,        3D,      651,         ,         ,         
         Fail,  11/10/2023,  01:10:24 AM,   -18.5897865,    48.0582542,        2D,        0,         ,         ,         
