          CRC         Date          Time       Latitude      Longitude        Fix     Alt(m) Temp(°C)     Volts      Mort
ID 245099:  Msg {475}  GPS {Total = 238   OK = 214   Fail = 24}
           OK,  02/10/2023,  04:03:12 AM,   -18.8464508,    48.0122223,        2D,        0,         ,         ,         
           OK,  02/10/2023,  09:01:52 AM,   -18.8461704,    48.0242805,        3D,      975,         ,         ,         
           OK,  02/10/2023,  03:00:16 PM,   -18.8451977,    48.0313225,        3D,       14,         ,         ,         
           OK,  02/10/2023,  04:59:44 PM,   -18.9261189,    48.0572548,        2D,        0,         ,         ,         
           OK,  02/10/2023,  06:59:12 PM,   -18.9489536,    48.0676231,        2D,        0,         ,         ,         
           OK,  02/10/2023,  08:03:12 PM,   -18.9436035,    48.0693626,        2D,        0,         ,         ,         
           OK,  02/10/2023,  10:02:40 PM,   -18.9419384,    48.0657005,        3D,     1016,         ,         ,         
           OK,  02/10/2023,  11:02:24 PM,   -18.9412479,    48.0654716,        3D,     1048,         ,         ,         
           OK,  03/10/2023,  12:02:08 AM,   -18.9398136,    48.0566902,        3D,     1219,         ,         ,         
           OK,  03/10/2023,  02:01:36 AM,   -18.8384895,    48.0303230,        2D,        0,         ,         ,         
           OK,  03/10/2023,  03:01:20 AM,   -18.8460674,    48.0241013,        3D,      936,         ,         ,         
           OK,  03/10/2023,  04:01:04 AM,   -18.8460922,    48.0241013,        3D,      940,         ,         ,         
           OK,  03/10/2023,  08:59:44 AM,   -18.8462715,    48.0240517,        3D,      974,         ,         ,         
           OK,  03/10/2023,  04:02:08 PM,   -18.8461952,    48.0287628,        2D,        0,         ,         ,         
           OK,  03/10/2023,  08:01:04 PM,   -18.8418694,    48.0315247,        3D,      959,         ,         ,         
           OK,  03/10/2023,  09:00:48 PM,   -18.8437119,    48.0317574,        3D,      899,         ,         ,         
           OK,  03/10/2023,  10:00:32 PM,   -18.8437119,    48.0317574,        3D,      891,         ,         ,         
           OK,  03/10/2023,  11:00:16 PM,   -18.8429184,    48.0276871,        3D,      806,         ,         ,         
           OK,  04/10/2023,  02:59:12 AM,   -18.8461437,    48.0240250,        3D,      955,         ,         ,         
           OK,  04/10/2023,  03:58:56 AM,   -18.8461437,    48.0241280,        3D,      943,         ,         ,         
           OK,  04/10/2023,  09:01:52 AM,   -18.8461952,    48.0240517,        3D,      947,         ,         ,         
           OK,  04/10/2023,  04:00:00 PM,   -18.8438911,    48.0318069,        3D,      909,         ,         ,         
           OK,  04/10/2023,  04:59:44 PM,   -18.8438396,    48.0317841,        3D,      899,         ,         ,         
           OK,  04/10/2023,  05:59:28 PM,   -18.8437634,    48.0317574,        3D,      908,         ,         ,         
           OK,  04/10/2023,  06:59:12 PM,   -18.8437881,    48.0317841,        3D,      905,         ,         ,         
           OK,  04/10/2023,  07:58:56 PM,   -18.8438148,    48.0317307,        3D,      894,         ,         ,         
           OK,  04/10/2023,  08:58:40 PM,   -18.8437881,    48.0317574,        3D,      909,         ,         ,         
           OK,  04/10/2023,  10:02:40 PM,   -18.8438396,    48.0317841,        3D,      904,         ,         ,         
           OK,  04/10/2023,  11:02:24 PM,   -18.8438396,    48.0318336,        3D,      886,         ,         ,         
           OK,  05/10/2023,  12:02:08 AM,   -18.8438148,    48.0317574,        3D,      890,         ,         ,         
           OK,  05/10/2023,  01:01:52 AM,   -18.8438663,    48.0317574,        3D,      893,         ,         ,         
           OK,  05/10/2023,  02:01:36 AM,   -18.8438148,    48.0317574,        3D,      900,         ,         ,         
           OK,  05/10/2023,  04:01:04 AM,   -18.8438663,    48.0316811,        3D,      915,         ,         ,         
           OK,  05/10/2023,  08:59:44 AM,   -18.8438396,    48.0317574,        3D,      916,         ,         ,         
           OK,  05/10/2023,  03:02:24 PM,   -18.8438148,    48.0318069,        3D,      877,         ,         ,         
           OK,  05/10/2023,  04:02:08 PM,   -18.8438148,    48.0317307,        3D,      891,         ,         ,         
           OK,  05/10/2023,  06:01:36 PM,   -18.8438911,    48.0318069,        3D,      901,         ,         ,         
           OK,  05/10/2023,  07:01:20 PM,   -18.8438148,    48.0317307,        3D,      892,         ,         ,         
           OK,  05/10/2023,  08:01:04 PM,   -18.8438396,    48.0317574,        3D,      892,         ,         ,         
           OK,  05/10/2023,  09:00:48 PM,   -18.8438396,    48.0317574,        3D,      896,         ,         ,         
           OK,  05/10/2023,  10:00:32 PM,   -18.8438663,    48.0317841,        3D,      902,         ,         ,         
           OK,  05/10/2023,  11:00:16 PM,   -18.8438396,    48.0317841,        3D,      897,         ,         ,         
           OK,  06/10/2023,  12:00:00 AM,   -18.8438396,    48.0317574,        3D,      904,         ,         ,         
           OK,  06/10/2023,  12:59:44 AM,   -18.8438148,    48.0317574,        3D,      894,         ,         ,         
           OK,  06/10/2023,  02:59:12 AM,   -18.8437634,    48.0317039,        3D,      883,         ,         ,         
           OK,  06/10/2023,  09:01:52 AM,   -18.8438148,    48.0317039,        3D,      905,         ,         ,         
           OK,  06/10/2023,  03:00:16 PM,   -18.8436089,    48.0316811,        3D,      875,         ,         ,         
           OK,  06/10/2023,  04:00:00 PM,   -18.8438148,    48.0317039,        3D,      893,         ,         ,         
           OK,  06/10/2023,  04:59:44 PM,   -18.8438663,    48.0317574,        3D,      892,         ,         ,         
           OK,  06/10/2023,  06:59:12 PM,   -18.8438148,    48.0317574,        3D,      897,         ,         ,         
           OK,  06/10/2023,  07:58:56 PM,   -18.8436871,    48.0316048,        3D,      867,         ,         ,         
           OK,  06/10/2023,  09:02:56 PM,   -18.8437881,    48.0317574,        3D,      895,         ,         ,         
           OK,  06/10/2023,  10:02:40 PM,   -18.8438663,    48.0317307,        3D,      896,         ,         ,         
           OK,  06/10/2023,  11:02:24 PM,   -18.8438148,    48.0317307,        3D,      896,         ,         ,         
           OK,  07/10/2023,  12:02:08 AM,   -18.8438148,    48.0317574,        3D,      891,         ,         ,         
           OK,  07/10/2023,  01:01:52 AM,   -18.8437881,    48.0317841,        3D,      898,         ,         ,         
           OK,  07/10/2023,  02:01:36 AM,   -18.8437881,    48.0317307,        3D,      899,         ,         ,         
           OK,  07/10/2023,  03:01:20 AM,   -18.8438396,    48.0317574,        3D,      907,         ,         ,         
           OK,  07/10/2023,  04:01:04 AM,   -18.8437881,    48.0317307,        3D,      891,         ,         ,         
           OK,  07/10/2023,  08:59:44 AM,   -18.8438663,    48.0318069,        3D,      916,         ,         ,         
           OK,  07/10/2023,  03:02:24 PM,   -18.8437634,    48.0317307,        3D,      892,         ,         ,         
           OK,  07/10/2023,  05:01:52 PM,   -18.8438911,    48.0317307,        3D,      895,         ,         ,         
           OK,  07/10/2023,  06:01:36 PM,   -18.8437119,    48.0316544,        3D,      888,         ,         ,         
           OK,  07/10/2023,  07:01:20 PM,   -18.8438148,    48.0317574,        3D,      888,         ,         ,         
           OK,  07/10/2023,  08:01:04 PM,   -18.8438396,    48.0317307,        3D,      885,         ,         ,         
           OK,  07/10/2023,  09:00:48 PM,   -18.8438396,    48.0317307,        3D,      894,         ,         ,         
           OK,  07/10/2023,  10:00:32 PM,   -18.8438396,    48.0317307,        3D,      893,         ,         ,         
           OK,  07/10/2023,  11:00:16 PM,   -18.8438148,    48.0317574,        3D,      895,         ,         ,         
           OK,  08/10/2023,  12:00:00 AM,   -18.8437881,    48.0316277,        3D,      888,         ,         ,         
           OK,  08/10/2023,  12:59:44 AM,   -18.8437881,    48.0316811,        3D,      888,         ,         ,         
           OK,  08/10/2023,  01:59:28 AM,   -18.8437881,    48.0317574,        3D,      906,         ,         ,         
           OK,  08/10/2023,  03:58:56 AM,   -18.8438396,    48.0317574,        3D,      905,         ,         ,         
           OK,  08/10/2023,  09:01:52 AM,   -18.8438148,    48.0317574,        3D,      905,         ,         ,         
           OK,  08/10/2023,  04:59:44 PM,   -18.8437634,    48.0318069,        3D,      916,         ,         ,         
           OK,  08/10/2023,  05:59:28 PM,   -18.8438148,    48.0317574,        3D,      903,         ,         ,         
           OK,  08/10/2023,  06:59:12 PM,   -18.8437881,    48.0317841,        3D,      905,         ,         ,         
           OK,  08/10/2023,  07:58:56 PM,   -18.8438396,    48.0317841,        3D,      855,         ,         ,         
           OK,  08/10/2023,  08:58:40 PM,   -18.8438148,    48.0317574,        3D,      895,         ,         ,         
           OK,  08/10/2023,  10:02:40 PM,   -18.8437634,    48.0317307,        3D,      899,         ,         ,         
           OK,  08/10/2023,  11:02:24 PM,   -18.8437366,    48.0316811,        3D,      912,         ,         ,         
           OK,  09/10/2023,  12:02:08 AM,   -18.8437881,    48.0317574,        3D,      887,         ,         ,         
           OK,  09/10/2023,  01:01:52 AM,   -18.8437634,    48.0317841,        3D,      902,         ,         ,         
           OK,  09/10/2023,  02:01:36 AM,   -18.8437881,    48.0317307,        3D,      901,         ,         ,         
           OK,  09/10/2023,  03:01:20 AM,   -18.8428421,    48.0311165,        3D,      705,         ,         ,         
           OK,  09/10/2023,  04:01:04 AM,   -18.8437634,    48.0317574,        3D,      877,         ,         ,         
           OK,  09/10/2023,  08:59:44 AM,   -18.8437634,    48.0317574,        3D,      931,         ,         ,         
           OK,  09/10/2023,  03:02:24 PM,   -18.8437881,    48.0317841,        3D,      891,         ,         ,         
           OK,  09/10/2023,  04:02:08 PM,   -18.8438396,    48.0317307,        3D,      917,         ,         ,         
           OK,  09/10/2023,  05:01:52 PM,   -18.8438663,    48.0317574,        3D,      904,         ,         ,         
           OK,  09/10/2023,  06:01:36 PM,   -18.8438396,    48.0317574,        3D,      905,         ,         ,         
           OK,  09/10/2023,  07:01:20 PM,   -18.8438148,    48.0317841,        3D,      900,         ,         ,         
           OK,  09/10/2023,  08:01:04 PM,   -18.8437634,    48.0317039,        3D,      920,         ,         ,         
           OK,  09/10/2023,  09:00:48 PM,   -18.8437881,    48.0317307,        3D,      901,         ,         ,         
           OK,  09/10/2023,  10:00:32 PM,   -18.8438148,    48.0317841,        3D,      895,         ,         ,         
           OK,  09/10/2023,  11:00:16 PM,   -18.8438148,    48.0317574,        3D,      900,         ,         ,         
           OK,  10/10/2023,  12:00:00 AM,   -18.8437881,    48.0317307,        3D,      884,         ,         ,         
           OK,  10/10/2023,  12:59:44 AM,   -18.8438396,    48.0317841,        3D,      897,         ,         ,         
           OK,  10/10/2023,  01:59:28 AM,   -18.8438148,    48.0317574,        3D,      906,         ,         ,         
           OK,  10/10/2023,  02:59:12 AM,   -18.8401279,    48.0292473,        3D,      134,         ,         ,         
           OK,  10/10/2023,  09:01:52 AM,   -18.8436604,    48.0317039,        3D,      882,         ,         ,         
           OK,  10/10/2023,  03:00:16 PM,   -18.8437366,    48.0317307,        3D,      892,         ,         ,         
           OK,  10/10/2023,  04:00:00 PM,   -18.8438148,    48.0318069,        3D,      902,         ,         ,         
           OK,  10/10/2023,  04:59:44 PM,   -18.8438148,    48.0317841,        3D,      914,         ,         ,         
           OK,  10/10/2023,  05:59:28 PM,   -18.8438148,    48.0317307,        3D,      909,         ,         ,         
           OK,  10/10/2023,  06:59:12 PM,   -18.8438663,    48.0317841,        3D,      903,         ,         ,         
           OK,  10/10/2023,  07:58:56 PM,   -18.8438148,    48.0317841,        3D,      878,         ,         ,         
           OK,  10/10/2023,  08:58:40 PM,   -18.8438148,    48.0317039,        3D,      895,         ,         ,         
           OK,  10/10/2023,  10:02:40 PM,   -18.8437881,    48.0317307,        3D,      898,         ,         ,         
           OK,  10/10/2023,  11:02:24 PM,   -18.8437881,    48.0317039,        3D,      897,         ,         ,         
           OK,  11/10/2023,  12:02:08 AM,   -18.8437881,    48.0317039,        3D,      878,         ,         ,         
           OK,  11/10/2023,  01:01:52 AM,   -18.8438396,    48.0317307,        3D,      895,         ,         ,         
           OK,  11/10/2023,  03:01:20 AM,   -18.8437634,    48.0317039,        3D,      900,         ,         ,         
           OK,  11/10/2023,  04:01:04 AM,   -18.8437881,    48.0317574,        3D,      899,         ,         ,         
           OK,  11/10/2023,  08:59:44 AM,   -18.8437119,    48.0316811,        3D,      904,         ,         ,         
           OK,  11/10/2023,  03:02:24 PM,   -18.8437366,    48.0317307,        3D,      884,         ,         ,         
           OK,  11/10/2023,  05:01:52 PM,   -18.8438663,    48.0317307,        3D,      896,         ,         ,         
           OK,  11/10/2023,  07:01:20 PM,   -18.8436604,    48.0316277,        3D,      829,         ,         ,         
           OK,  11/10/2023,  09:00:48 PM,   -18.8438396,    48.0317307,        3D,      905,         ,         ,         
           OK,  11/10/2023,  10:00:32 PM,   -18.8437119,    48.0316544,        3D,      904,         ,         ,         
           OK,  11/10/2023,  11:00:16 PM,   -18.8437881,    48.0317307,        3D,      902,         ,         ,         
           OK,  12/10/2023,  12:00:00 AM,   -18.8437881,    48.0317574,        3D,      892,         ,         ,         
           OK,  12/10/2023,  12:59:44 AM,   -18.8437881,    48.0317841,        3D,      901,         ,         ,         
           OK,  12/10/2023,  01:59:28 AM,   -18.8437881,    48.0317574,        3D,      894,         ,         ,         
           OK,  12/10/2023,  02:59:12 AM,   -18.8399487,    48.0293007,        3D,       64,         ,         ,         
           OK,  12/10/2023,  03:58:56 AM,   -18.8437881,    48.0317574,        3D,      907,         ,         ,         
           OK,  12/10/2023,  09:01:52 AM,   -18.8437634,    48.0316811,        3D,      889,         ,         ,         
           OK,  12/10/2023,  03:00:16 PM,   -18.8436871,    48.0316811,        3D,      866,         ,         ,         
           OK,  12/10/2023,  04:00:00 PM,   -18.8429184,    48.0316811,        3D,      944,         ,         ,         
           OK,  12/10/2023,  04:59:44 PM,   -18.8438396,    48.0317841,        3D,      903,         ,         ,         
           OK,  12/10/2023,  05:59:28 PM,   -18.8438148,    48.0317307,        3D,      899,         ,         ,         
           OK,  12/10/2023,  06:59:12 PM,   -18.8438663,    48.0317574,        3D,      910,         ,         ,         
           OK,  12/10/2023,  08:03:12 PM,   -18.8440704,    48.0318832,        3D,      696,         ,         ,         
           OK,  12/10/2023,  08:58:40 PM,   -18.8437881,    48.0316811,        3D,      885,         ,         ,         
           OK,  12/10/2023,  10:02:40 PM,   -18.8437634,    48.0313225,        3D,      848,         ,         ,         
           OK,  12/10/2023,  11:02:24 PM,   -18.8438148,    48.0317307,        3D,      906,         ,         ,         
           OK,  13/10/2023,  02:01:36 AM,   -18.8438148,    48.0316811,        3D,      893,         ,         ,         
           OK,  13/10/2023,  03:01:20 AM,   -18.8438396,    48.0317307,        3D,      907,         ,         ,         
           OK,  13/10/2023,  04:01:04 AM,   -18.8437881,    48.0317574,        3D,      923,         ,         ,         
           OK,  13/10/2023,  08:59:44 AM,   -18.8437881,    48.0317307,        3D,      902,         ,         ,         
