          CRC         Date          Time       Latitude      Longitude        Fix     Alt(m) Temp(°C)     Volts      Mort
ID 245090:  Msg {683}  GPS {Total = 293   OK = 212   Fail = 81}
           OK,  25/09/2023,  06:01:36 PM,   -18.6287746,    48.0051842,        3D,      948,         ,         ,         
           OK,  25/09/2023,  09:00:48 PM,   -18.6288261,    48.0051079,        3D,      962,         ,         ,         
           OK,  25/09/2023,  10:00:32 PM,   -18.6320248,    48.0385666,        3D,      914,         ,         ,         
           OK,  25/09/2023,  11:00:16 PM,   -18.6337147,    48.0454521,        3D,      855,         ,         ,         
           OK,  26/09/2023,  12:00:00 AM,   -18.6304646,    48.0405388,        2D,        0,         ,         ,         
           OK,  26/09/2023,  01:59:28 AM,   -18.5532551,    48.1109123,        3D,      976,         ,         ,         
           OK,  26/09/2023,  02:59:12 AM,   -18.5511799,    48.1202049,        3D,      891,         ,         ,         
           OK,  26/09/2023,  03:58:56 AM,   -18.5511303,    48.1202049,        3D,      889,         ,         ,         
           OK,  26/09/2023,  09:01:52 AM,   -18.5511551,    48.1201782,        3D,      930,         ,         ,         
           OK,  26/09/2023,  03:00:16 PM,   -18.5510521,    48.1197433,        3D,      937,         ,         ,         
           OK,  26/09/2023,  05:59:28 PM,   -18.6344318,    48.0030098,        2D,        0,         ,         ,         
           OK,  26/09/2023,  06:59:12 PM,   -18.6316414,    48.0385170,        3D,      852,         ,         ,         
           OK,  26/09/2023,  08:03:12 PM,   -18.5991554,    47.9649391,        2D,        0,         ,         ,         
           OK,  26/09/2023,  09:02:56 PM,   -18.6317692,    48.0388489,        3D,      783,         ,         ,         
           OK,  26/09/2023,  10:02:40 PM,   -18.6105213,    48.0742531,        2D,        0,         ,         ,         
           OK,  27/09/2023,  01:01:52 AM,   -18.6318970,    48.0574074,        3D,      865,         ,         ,         
           OK,  27/09/2023,  03:01:20 AM,   -18.5511799,    48.1202049,        3D,      889,         ,         ,         
           OK,  27/09/2023,  04:01:04 AM,   -18.5512066,    48.1201553,        3D,      893,         ,         ,         
           OK,  27/09/2023,  08:59:44 AM,   -18.5510788,    48.1202545,        3D,      955,         ,         ,         
           OK,  27/09/2023,  04:02:08 PM,   -18.6289539,    48.0053635,        3D,      980,         ,         ,         
           OK,  27/09/2023,  05:01:52 PM,   -18.6290302,    48.0050049,        3D,      963,         ,         ,         
