Date,Animal-ID,Latitude,Longitude,Altitude,Time,Timestamp
9/12/06,A15,-18.51139,48.15689,888,18:35,9/12/06 18:35
9/12/06,A15,-18.51139,48.15689,888,20:15,9/12/06 20:15
9/12/06,A15,-18.51034,48.15893,887,21:05,9/12/06 21:05
9/12/06,A15,-18.51139,48.15689,888,21:05,9/12/06 21:05
10/22/06,A15,-18.51455,48.1615,932,18:40,10/22/06 18:40
10/22/06,A15,-18.51455,48.1615,932,20:30,10/22/06 20:30
9/12/06,A15,-18.51139,48.15689,888,18:35,9/12/06 18:35
9/12/06,A15,-18.51139,48.15689,888,18:35,9/12/06 18:35
9/12/06,A15,-18.51139,48.15689,888,20:15,9/12/06 20:15
9/12/06,A15,-18.51139,48.15689,888,20:15,9/12/06 20:15
10/22/06,A15,-18.51455,48.1615,932,18:40,10/22/06 18:40
10/22/06,A15,-18.5221,48.16429,906,19:35,10/22/06 19:35
10/22/06,A15,-18.5221,48.16429,906,19:35,10/22/06 19:35
10/22/06,A15,-18.51455,48.1615,932,20:30,10/22/06 20:30
10/22/06,A15,-18.51455,48.1615,932,21:25,10/22/06 21:25
8/14/06,A2,-18.5152,48.15139,880,19:00,8/14/06 19:00
8/14/06,A2,-18.51586,48.15339,880,19:20,8/14/06 19:20
9/15/06,A2,-18.5192,48.15913,899,18:50,9/15/06 18:50
9/15/06,A2,-18.52508,48.16219,921,19:10,9/15/06 19:10
10/22/06,A2,-18.5221,48.16429,906,19:05,10/22/06 19:05
10/23/06,A2,-18.52053,48.16275,925,18:10,10/23/06 18:10
8/13/06,A2,-18.5152,48.15139,880,18:50,8/13/06 18:50
8/14/06,A2,-18.5152,48.15139,880,18:40,8/14/06 18:40
8/14/06,A2,-18.5152,48.15139,880,18:40,8/14/06 18:40
8/14/06,A2,-18.51586,48.15339,880,19:00,8/14/06 19:00
8/14/06,A2,-18.51586,48.15339,880,19:20,8/14/06 19:20
8/14/06,A2,-18.51586,48.15339,880,19:20,8/14/06 19:20
9/12/06,A2,-18.51139,48.15689,888,20:35,9/12/06 20:35
9/12/06,A2,-18.51139,48.15689,888,20:35,9/12/06 20:35
9/15/06,A2,-18.52089,48.16072,916,18:00,9/15/06 18:00
